repo_owner,repo_name,payload_commit_msg,created_at,TRUE_VALUE,Final_Themes,
X3N0-Life-Form,AVPoV,aspov-primaries-wep.tbm: added anticap + heavy anticap tech description + reduced heavy anticap + sniper gun energy consumption + fixed typo large canon => large cannon + matched title and tech titles,31/05/2012 9:50,0,,
lincomatic,LeafCAN,added instantaneous power consumption in KW,04/06/2012 0:15,0,,
flackr,dungeon,Fix power consumption tracking across multiple clients.,09/06/2012 19:31,0,,
NickStupich,PIC-dev-work,"loop or interrupt based bit flipping working, power consumption measured at 41-49mA (pic24h vs pic33f) at 3.0 V",11/06/2012 22:06,0,,
TI-OpenLink,18xx-ti-utils,"Update wl6/7 FW versions : single role X.3.10.2.114 multi role: X.5.7.0.26 Single Role Firmware =================== 6.3.8.1.111/ 7.3.8.1.111 - fix for invalid 11n incoming beacons we set the duration for HT mixed Mode. - Bug Fix Mcs00111501 Wi-Fi Wpsv2 Aput 4.2.13:The Aput Connected When Overlapped Pbc Sessions. Fixed several issues in generic_ie_parser and anded support for pbc in probe response 1. In function FindAttribute fixed an issue where the while was stopped after one iteration. 2. In function FindAttribute fixed an issue where the pointer was increased only by attribute payload length without the header length. 3. Added support for IE that uses BIG Endian. 4. Added function that search and indicates whether the PBC was pressed the probe response WSC IE and we use that function to decide if to raise the probe to the host or drop it. - fix Security Padding (Under a compliation flag ,FW_SECURITY_PADDING - Default = Disabled!!!!) : Move Security Padding handler from Host to FW. FW will be in charge for adding the security padding for each data packet according to security type. - Bug Fix MCS00111964 - Schedule scan: Detecting of AP with suitable SSID , but not suitable privacy causes recovery during scheduled scan. - Bug fix MCS00112154 (SUT): QuattroL HP-FEM; 2.4GHz; HW_WD_EXPIRE FW PC=0x21de2 during Connection on CH 11. On HP FEM reduce Rx gain level for LTE better coexistence - Bug Fix MCS00112566 - WiFi Direct: Recovery occurs after successful group formation. PowerSaveModule_ExitPowerSaveByClient() - function callback points to null! 6.3.9.2.112/ 7.3.9.2.112 - Added two more Probe Request types for application scan (one shot), and changed the Older Probe Request templates to Connection scan (sched scan) probes. also changed the probe to be regular and role aware and role protected. - Enabling connection scan while STA is connected. The whole connection scan process was wrapped with enter/exit power save. A client (POWER_SAVE_CONN_SCAN_CLIENT_ID) for the connection scan was added to the PS module. PS module is now responsible of launching the connection scan process by invoking ProcessConnectionScanEnterPSCB after entering PS success. 6.3.10.2.113/ 7.3.10.2.113 - IPv6 Feature offloading - added functionality to Fw for Auto response to Neighbour Solicitaion frames. 6.3.10.2.114/ 7.3.10.2.114 - During opening a tx ba seesion, if the recipient returns addba response with winSize smaller than we requested, we don't update it properly upon the TBC_Init. - rx_streaming.c: Go over all the TIDs (8) instead of RX_STRAMING_NUM_OF_TID_SUPPORTED (4). Also send the TID instead of the TIDindex. - Bug Fix MCS00113136 - WiFi TGn APUT 4.2.31: The APUT doesn't turn on the HT non-member protection bit - Bug Fix MCS00110974 - APUT : Beacon stops while UDP RX traffic - Wrong AIFSN calculation. - Bug Fix for TC5.2.2 - PM bit was set in the probe request. Multi Role Firmware =================== 6.5.6.0.24 / 7.5.6.0.24 - Universal scan feature 6.5.7.0.25 / 7.5.7.0.25 - Enabling connection scan while STA is connected. The whole connection scan process was wrapped with enter/exit power save. A client (POWER_SAVE_CONN_SCAN_CLIENT_ID) for the connection can was added to the PS module. PS module is now responsible of launching the connection scan process by invoking processConnectionScanEnterPSCB after entering PS success. - Align the IPv6 APIs with the Host. IPv6 offload is not supported in MR FW. FW will return CMD_STATUS_SUCCESS. 6.5.7.0.26 / 7.5.7.0.26 - During opening a tx ba seesion, if the recipient returns addba response with winSize smaller than we requested, we don't update it properly upon the TBC_Init. - Bug Fix MCS00112495:BSS preamble: worng duration. We didn't configure correctly the immediate response rate. We need to used FW format of rates and not the HW format. - Wrong calculation of the MPDU size. This is because the FwCtrl of the fw-generated was not initialized. - Bug Fix MCS00111964: Schedule scan: Detecting of AP with suitable SSID, but not suitable privacy causes recovery during scheduled scan. - fix for invalid 11n incoming beacons we set the duration for HT mixed Mode. - Bug Fix MCS00102599 FW - R5 MR: """"keep alive"""" frames are NOT sent. - The auto ARP address3 was not set correctly in TxEngine_PrepTemplateHeader. Instead it is set in arpFltr_dequeueResponseFrameInfo. - Bug Fix MCS00110974 - APUT : Beacon stops while UDP RX traffic - Wrong AIFSN calculation. - Bug Fix for TC5.2.2 - PM bit was set in the probe request Signed-off-by: Assaf Azulay <assaf@ti.com>",15/06/2012 7:03,0,,
Rover-Yu,skbtrace-kernel,"tick: Add tick skew boot option Let the user decide whether power consumption or jitter is the more important consideration for their machines. Quoting removal commit af5ab277ded04bd9bc6b048c5a2f0e7d70ef0867: ""Historically, Linux has tried to make the regular timer tick on the various CPUs not happen at the same time, to avoid contention on xtime_lock. Nowadays, with the tickless kernel, this contention no longer happens since time keeping and updating are done differently. In addition, this skew is actually hurting power consumption in a measurable way on many-core systems."" Problems: - Contrary to the above, systems do encounter contention on both xtime_lock and RCU structure locks when the tick is synchronized. - Moderate sized RT systems suffer intolerable jitter due to the tick being synchronized. - SGI reports the same for their large systems. - Fully utilized systems reap no power saving benefit from skew removal, but do suffer from resulting induced lock contention. - 0209f649 rcu: limit rcu_node leaf-level fanout This patch was born to combat lock contention which testing showed to have been _induced by_ skew removal. Skew the tick, contention disappeared virtually completely. Signed-off-by: Mike Galbraith <mgalbraith@suse.de> Link: http://lkml.kernel.org/r/1336472458.21924.78.camel@marge.simpson.net Signed-off-by: Thomas Gleixner <tglx@linutronix.de>",18/06/2012 8:45,0,,
Cheng-SG,BubbleCode,Add power consumption caculation and storage,20/06/2012 8:12,0,,
bidouilles,bGeigieNano,Update power consumption summary table,06/07/2012 3:40,0,,
mysmartgrid,msg-flukso,Page 'On-site energy consumption' has been improved.,16/07/2012 19:01,0,,
TI-OpenLink,wl18xx_fw,"update PG2 FW version to 8.2.0.0.107 MAC Firmware version: 8.2.0.0.107 PHY Firmware version: 8.2.999.0.135 ili file updated. Updates in this version (from FW 102): - remove dencity - add ELP WA ;unmask WL8_BRINGUP_PATCH_YIELD_WA - remove WL8_WA_DISRESPECTABLE_HT_DENSITY; WA to tear down the BA session if we detect spacing of 8 usec - add force calibration on radio tune - increase Max aggergation size to 14 - Remove TCP check sum fro RX and Tx pipline - update HW Fifo sizes - Add stop tx stat - Add retry per rate stat - fix order of retrey in aggregation - Add tx monitor on AC trigger Busy - fix exception on update cashe attributes - MCS00115464 => new Rx parser compiler. - MCS00115494 => RSSI and Calibration results for RTTT. - MCS00115500 => BT/ELP changed sequence. - fix for BA open timeout - remove workaround for CW increment only after 2nd retry. - remove AC's priority fix (aifsn-1) - remove logger mux workaround for 189x. - generating fw global variable script for driver use - MCS00115516 => Fix TKIP problems from version 104 - warning cleanup - reduce ELP WU times - MCS00114518 TKIP as AP: udp_tx causes assert in IntMemBlockErr() (Oren S.) - disable power save in AP mode scan (Danny) - fixes for PD (still disabled in version) - add debug for pwrmgt activities - PHY version 135 - Add workaround for CCA ""clock-like""-toggle issue - TKIP Cisco fragmentation bug - Pre-TX Disable (+Disable switching PFM/PWM mode) - Work around for bad decrypted RX broadcast frames going to Host Signed-off-by: Ido Reis <idor@ti.com>",19/07/2012 13:21,0,,
kript,Monitoring-Stuff,Initial working version of power consumption iLo checking script Script to check the iLo of an HP Proliant G series server for its power consumption via the iLo port.,19/07/2012 20:49,0,,
CyanogenMod,android_kernel_samsung_aries,"ath9k: Fix kernel panic in AR2427 in AP mode commit b25bfda38236f349cde0d1b28952f4eea2148d3f upstream. don't do aggregation related stuff for 'AP mode client power save handling' if aggregation is not enabled in the driver, otherwise it will lead to panic because those data structures won't be never intialized in 'ath_tx_node_init' if aggregation is disabled EIP is at ath_tx_aggr_wakeup+0x37/0x80 [ath9k] EAX: e8c09a20 EBX: f2a304e8 ECX: 00000001 EDX: 00000000 ESI: e8c085e0 EDI: f2a304ac EBP: f40e1ca4 ESP: f40e1c8c DS: 007b ES: 007b FS: 00d8 GS: 00e0 SS: 0068 Process swapper/1 (pid: 0, ti=f40e0000 task=f408e860 task.ti=f40dc000) Stack: 0001e966 e8c09a20 00000000 f2a304ac e8c085e0 f2a304ac f40e1cb0 f8186741 f8186700 f40e1d2c f922988d f2a304ac 00000202 00000001 c0b4ba43 00000000 0000000f e8eb75c0 e8c085e0 205b0001 34383220 f2a304ac f2a30000 00010020 Call Trace: [<f8186741>] ath9k_sta_notify+0x41/0x50 [ath9k] [<f8186700>] ? ath9k_get_survey+0x110/0x110 [ath9k] [<f922988d>] ieee80211_sta_ps_deliver_wakeup+0x9d/0x350 [mac80211] [<c018dc75>] ? __module_address+0x95/0xb0 [<f92465b3>] ap_sta_ps_end+0x63/0xa0 [mac80211] [<f9246746>] ieee80211_rx_h_sta_process+0x156/0x2b0 [mac80211] [<f9247d1e>] ieee80211_rx_handlers+0xce/0x510 [mac80211] [<c018440b>] ? trace_hardirqs_on+0xb/0x10 [<c056936e>] ? skb_queue_tail+0x3e/0x50 [<f9248271>] ieee80211_prepare_and_rx_handle+0x111/0x750 [mac80211] [<f9248bf9>] ieee80211_rx+0x349/0xb20 [mac80211] [<f9248949>] ? ieee80211_rx+0x99/0xb20 [mac80211] [<f818b0b8>] ath_rx_tasklet+0x818/0x1d00 [ath9k] [<f8187a75>] ? ath9k_tasklet+0x35/0x1c0 [ath9k] [<f8187a75>] ? ath9k_tasklet+0x35/0x1c0 [ath9k] [<f8187b33>] ath9k_tasklet+0xf3/0x1c0 [ath9k] [<c0151b7e>] tasklet_action+0xbe/0x180 Cc: Senthil Balasubramanian <senthilb@qca.qualcomm.com> Cc: Rajkumar Manoharan <rmanohar@qca.qualcomm.com> Reported-by: Ashwin Mendonca <ashwinloyal@gmail.com> Tested-by: Ashwin Mendonca <ashwinloyal@gmail.com> Signed-off-by: Mohammed Shafi Shajakhan <mohammed@qca.qualcomm.com> Signed-off-by: John W. Linville <linville@tuxdriver.com> Signed-off-by: Greg Kroah-Hartman <gregkh@suse.de>",20/07/2012 7:47,0,,
geon,neupet,Implemented neural controll over movement/mating + adjusted energy consumption to allow offspring to survive. First signs of evolution,24/07/2012 9:38,0,,
jamescoxon,PicoAtlas,"working setup, first 1000 strings then into power saving mode, setup up to measure battery voltage and solar voltage",27/07/2012 7:11,0,,
triman1990,rpgContest,forgot about shield power consumption lol,28/07/2012 12:00,0,,
gentoo,munin,"sensors_: add support for power monitoring. This is already implemented with IPMI for some systems, but most boards do not report that. On the other hand, modern Opterons do report the power consumption for the CPU at least, which comes useful.",31/07/2012 2:00,0,,
CyanogenMod,android_kernel_samsung_aries,Update notes for submitted changes * bcmdhd: Disable MAX power saving mode as disabled by Samsung,31/07/2012 3:06,0,,
CyanogenMod,android_kernel_samsung_aries,"Merge ""bcmdhd: Disable MAX power saving mode as disabled by Samsung"" into jellybean",31/07/2012 3:06,0,,
mysmartgrid,msg-flukso,The legend of page 'On-site Energy Consumption' has been fixed.,02/08/2012 10:10,0,,
neilbrown,linux,"IIO: add iio driver for ITG3200 3-axis gyroscope. Each axis can be individually disabled to save power. Sample rate can be set. Appropriate clock is set automatically. No triggers implemented yet, so no streaming of data. Just read it from sysfs. Signed-off-by: NeilBrown <neilb@suse.de>",04/08/2012 12:17,0,,
cdebortoli,requiem_on_m13,Fix : Temperature and energy consumption.,05/08/2012 15:39,0,,
barney-parker,Arduino-Countdown-Timer,Standalone V1.0 Working on standalone board Currently No Switches Not using power saving due to lack of switch for interrupt...,12/08/2012 14:29,0,,
mysmartgrid,msg-flukso,Some bugs in page 'On-site energy consumption' have been fixed.,15/08/2012 15:42,0,,
barney-parker,Arduino-Countdown-Timer,Circuit Diagram Updates Removed Frtizing diagram (didn't get on with it!) Added v0.1 and v0.2 jpg layouts Added 3 x displays to help debugging RTC issues... TODO: - Add 3 x momentary buttons - Add Batteries - Add Power Saving Features,19/08/2012 11:28,0,,
Wompi,robocode-bots,version 4.4 and major changes As you can see in the code changes this version got a huge change. The target is now averaged on the last heading changes and the bullet distance is back to 600. Stripped almost all energy save rules.,19/08/2012 21:18,0,,
jpallister,lowpower-framework,Added plotting script for the first fractional factorial runs Script plots barcharts of the time and energy consumption for each option,21/08/2012 14:13,0,,
movsim,movsim,"Bulk of additions concerning thesis (Studienarbeit) - support for totalVehicleElectricEnergyUsed, new field to separate fuel from energy consumption, variable message sign for all simulations starting with [routing], vehicle color mode EXIT_COLOR for all simulations starting with [ramp_metering] or [routing] - NOTE electric engine properties cannot yet be read from xml file",31/08/2012 16:06,0,,
fiveohhh,tempTransmitter,"removed dead code and debug interval Didn't think debug interval was necessary since we blast it out all the time. With the server determining if enough time has passed, it will still only get logged at higher intervals. Might want to address this again if we are trying to get low power consumption.",02/09/2012 3:07,0,,
INBASD,Solar-Power-Project,"Big update the InsolationCalculation class Now has the method ""Calculate"" which accepts cloud cover, energy usage, energy cost, tarrif, solar system cost, latitude, solar system efficiency and panel area. the calculate class updates variables for yearly and total energy generation, yearly and total energy savings, return on investment after the simulation period, and the year at which the system will break even given these values.",09/09/2012 1:29,0,,
hnl,DASH,APDS970x power consumption APDS-9700/APDS-9702 only use 2mA and not 20mA. APDS-9700 Datasheet: http://www.avagotech.com/docs/AV02-0893EN APDS-9702 Datasheet: http://www.avagotech.com/docs/AV02-2238EN Signed-off-by: Henning Nielsen Lund <hnl_dk@amigaos.dk>,09/09/2012 13:58,0,,
abourdon,powerapi-akka,"- 1st implementations of disk monitoring: - sensor-disk-api, which defines disk sensor types - sensor-disk-proc, which gather all ridden/written bytes by a process - formula-disk-api, which defined disk formula types - formula-disk-single, which compute the disk energy consumption by a process, in taking into accout only the primary physical disk - Disable sensor-cpu-sigar due to a lack of libraries - Downgrade to Scala 2.9.1 due to incompatibilities with the existing libraries - Cosmetic",10/09/2012 23:42,0,,
blackoutinn372,BlackoutSolarCalculator,"changed layout, moved power consumption estimation, monthly generation implemented anonymous asyccall",17/09/2012 14:49,0,,
